时间,通道,亮度,设置时间
2025/07/01 09:00:00:771,2,0,24ms
2025/07/01 09:00:01:250,3,255,24ms
2025/07/01 09:00:01:319,3,0,24ms
2025/07/01 09:00:01:350,3,0,23ms
2025/07/01 09:00:01:382,2,255,24ms
2025/07/01 09:00:01:493,3,0,23ms
2025/07/01 09:00:01:525,2,0,24ms
2025/07/01 09:00:02:790,1,255,23ms
2025/07/01 09:00:02:889,1,0,23ms
2025/07/01 09:00:02:920,4,255,23ms
2025/07/01 09:00:03:014,4,0,23ms
2025/07/01 09:00:03:159,4,255,24ms
2025/07/01 09:00:03:252,4,0,23ms
2025/07/01 09:00:04:540,5,255,23ms
2025/07/01 09:00:04:704,5,0,24ms
2025/07/01 09:00:04:734,4,255,23ms
2025/07/01 09:00:04:819,4,0,24ms
2025/07/01 09:00:05:113,5,255,24ms
2025/07/01 09:00:05:277,5,0,23ms
2025/07/01 09:00:05:308,4,255,23ms
2025/07/01 09:00:05:390,4,0,23ms
2025/07/01 09:00:15:444,3,255,24ms
2025/07/01 09:00:15:506,3,0,23ms
2025/07/01 09:00:15:536,3,0,23ms
2025/07/01 09:00:15:567,2,255,23ms
2025/07/01 09:00:15:675,3,0,23ms
2025/07/01 09:00:15:707,2,0,25ms
2025/07/01 09:00:17:031,2,255,23ms
2025/07/01 09:00:17:126,2,0,24ms
2025/07/01 09:01:46:029,2,255,23ms
2025/07/01 09:01:46:148,2,0,23ms
2025/07/01 09:01:46:867,3,90,23ms
2025/07/01 09:01:46:898,2,255,23ms
2025/07/01 09:01:46:964,3,0,23ms
2025/07/01 09:01:46:996,2,0,25ms
2025/07/01 09:01:47:574,6,255,23ms
2025/07/01 09:01:47:640,6,0,23ms
2025/07/01 09:01:48:002,6,255,23ms
2025/07/01 09:01:48:069,6,0,23ms
2025/07/01 09:01:53:209,2,255,24ms
2025/07/01 09:01:53:308,2,0,23ms
2025/07/01 09:01:53:797,3,255,23ms
2025/07/01 09:01:53:866,3,0,25ms
2025/07/01 09:01:53:897,3,0,24ms
2025/07/01 09:01:53:927,2,255,24ms
2025/07/01 09:01:54:034,3,0,23ms
2025/07/01 09:01:54:066,2,0,23ms
2025/07/01 09:01:55:334,1,255,23ms
2025/07/01 09:01:55:433,1,0,23ms
2025/07/01 09:01:55:464,4,255,23ms
2025/07/01 09:01:55:558,4,0,24ms
2025/07/01 09:01:55:706,4,255,24ms
2025/07/01 09:01:55:798,4,0,24ms
2025/07/01 09:01:57:084,5,255,23ms
2025/07/01 09:01:57:247,5,0,23ms
2025/07/01 09:01:57:278,4,255,23ms
2025/07/01 09:01:57:361,4,0,24ms
2025/07/01 09:01:57:658,5,255,23ms
2025/07/01 09:01:57:818,5,0,23ms
2025/07/01 09:01:57:850,4,255,24ms
2025/07/01 09:01:57:932,4,0,23ms
2025/07/01 09:02:08:046,3,255,23ms
2025/07/01 09:02:08:108,3,0,23ms
2025/07/01 09:02:08:139,3,0,23ms
2025/07/01 09:02:08:170,2,255,24ms
2025/07/01 09:02:08:278,3,0,24ms
2025/07/01 09:02:08:309,2,0,23ms
2025/07/01 09:02:25:393,2,255,24ms
2025/07/01 09:02:25:507,2,0,23ms
2025/07/01 09:02:26:222,3,90,24ms
2025/07/01 09:02:26:253,2,255,23ms
2025/07/01 09:02:26:324,3,0,24ms
2025/07/01 09:02:26:355,2,0,24ms
2025/07/01 09:02:26:934,6,255,23ms
2025/07/01 09:02:27:002,6,0,23ms
2025/07/01 09:02:27:370,6,255,24ms
2025/07/01 09:02:27:438,6,0,23ms
2025/07/01 09:02:32:585,2,255,24ms
2025/07/01 09:02:32:679,2,0,23ms
2025/07/01 09:02:33:162,3,255,24ms
2025/07/01 09:02:33:229,3,0,24ms
2025/07/01 09:02:33:259,3,0,23ms
2025/07/01 09:02:33:290,2,255,23ms
2025/07/01 09:02:33:398,3,0,23ms
2025/07/01 09:02:33:429,2,0,24ms
2025/07/01 09:02:34:693,1,255,23ms
2025/07/01 09:02:34:790,1,0,23ms
2025/07/01 09:02:34:821,4,255,23ms
