时间,采集时间
2025/06/27 09:03:23:054,77ms
2025/06/27 09:03:23:910,26ms
2025/06/27 09:03:24:582,32ms
2025/06/27 09:03:24:988,32ms
2025/06/27 09:03:30:207,62ms
2025/06/27 09:03:30:753,20ms
2025/06/27 09:03:30:925,67ms
2025/06/27 09:03:32:357,70ms
2025/06/27 09:03:32:496,56ms
2025/06/27 09:03:32:748,60ms
2025/06/27 09:03:34:153,120ms
2025/06/27 09:03:34:266,40ms
2025/06/27 09:03:34:739,120ms
2025/06/27 09:03:34:851,40ms
2025/06/27 09:03:44:989,22ms
2025/06/27 09:03:45:132,36ms
2025/06/27 09:03:46:675,53ms
2025/06/27 09:03:49:224,77ms
2025/06/27 09:03:50:074,27ms
2025/06/27 09:03:50:757,32ms
2025/06/27 09:03:51:260,32ms
2025/06/27 09:03:59:580,62ms
2025/06/27 09:04:00:121,20ms
2025/06/27 09:04:00:289,67ms
2025/06/27 09:04:01:718,70ms
2025/06/27 09:04:01:856,56ms
2025/06/27 09:04:02:105,60ms
2025/06/27 09:04:03:543,120ms
2025/06/27 09:04:03:656,40ms
2025/06/27 09:04:04:046,120ms
2025/06/27 09:04:04:160,40ms
2025/06/27 09:04:14:147,22ms
2025/06/27 09:04:14:291,36ms
2025/06/27 09:05:30:366,77ms
2025/06/27 09:05:31:159,27ms
2025/06/27 09:05:31:798,32ms
2025/06/27 09:05:32:245,32ms
2025/06/27 09:05:37:504,61ms
2025/06/27 09:05:38:045,20ms
2025/06/27 09:05:38:215,68ms
2025/06/27 09:05:39:647,70ms
2025/06/27 09:05:39:785,56ms
2025/06/27 09:05:40:040,60ms
2025/06/27 09:05:41:483,121ms
2025/06/27 09:05:41:593,40ms
2025/06/27 09:05:42:060,120ms
2025/06/27 09:05:42:173,40ms
2025/06/27 09:05:51:908,22ms
2025/06/27 09:05:52:050,35ms
2025/06/27 09:05:53:494,52ms
2025/06/27 09:06:23:477,78ms
2025/06/27 09:06:24:239,27ms
2025/06/27 09:06:24:923,32ms
2025/06/27 09:06:25:338,32ms
2025/06/27 09:06:30:531,62ms
2025/06/27 09:06:31:082,20ms
2025/06/27 09:06:31:252,68ms
2025/06/27 09:06:32:677,70ms
2025/06/27 09:06:32:816,56ms
2025/06/27 09:06:33:069,60ms
2025/06/27 09:06:34:505,121ms
2025/06/27 09:06:34:617,40ms
2025/06/27 09:06:35:053,120ms
2025/06/27 09:06:35:165,40ms
2025/06/27 09:06:45:345,22ms
2025/06/27 09:06:45:483,36ms
2025/06/27 09:09:44:729,78ms
2025/06/27 09:09:45:559,27ms
2025/06/27 09:09:46:228,34ms
2025/06/27 09:09:46:735,32ms
2025/06/27 09:09:52:026,62ms
2025/06/27 09:09:52:576,20ms
2025/06/27 09:09:52:743,67ms
2025/06/27 09:09:54:430,70ms
2025/06/27 09:09:54:568,56ms
2025/06/27 09:09:54:822,60ms
2025/06/27 09:09:56:246,120ms
2025/06/27 09:09:56:361,40ms
2025/06/27 09:09:56:801,120ms
2025/06/27 09:09:56:914,40ms
2025/06/27 09:10:07:079,22ms
2025/06/27 09:10:07:223,37ms
2025/06/27 09:10:09:178,52ms
2025/06/27 09:10:15:858,78ms
2025/06/27 09:10:16:665,27ms
2025/06/27 09:10:17:342,32ms
2025/06/27 09:10:17:832,32ms
2025/06/27 09:10:23:182,62ms
2025/06/27 09:10:23:727,20ms
2025/06/27 09:10:23:895,67ms
2025/06/27 09:10:25:487,70ms
2025/06/27 09:10:25:623,56ms
2025/06/27 09:10:25:879,60ms
2025/06/27 09:10:27:295,120ms
2025/06/27 09:10:27:406,41ms
2025/06/27 09:10:27:808,120ms
2025/06/27 09:10:27:922,40ms
2025/06/27 09:10:37:614,22ms
2025/06/27 09:10:37:756,35ms
2025/06/27 09:10:41:988,77ms
2025/06/27 09:10:42:802,28ms
2025/06/27 09:10:43:467,32ms
2025/06/27 09:10:43:912,32ms
2025/06/27 09:10:51:810,62ms
2025/06/27 09:10:52:357,20ms
2025/06/27 09:10:52:525,67ms
2025/06/27 09:10:54:052,69ms
2025/06/27 09:10:54:190,56ms
2025/06/27 09:10:54:446,60ms
2025/06/27 09:10:55:882,119ms
2025/06/27 09:10:55:996,40ms
2025/06/27 09:10:56:333,120ms
2025/06/27 09:10:56:442,40ms
2025/06/27 09:11:06:291,22ms
2025/06/27 09:11:06:433,35ms
2025/06/27 09:11:08:302,52ms
2025/06/27 09:12:01:877,77ms
2025/06/27 09:12:02:719,28ms
2025/06/27 09:12:03:358,32ms
2025/06/27 09:12:03:819,32ms
2025/06/27 09:12:09:084,62ms
2025/06/27 09:12:09:641,20ms
2025/06/27 09:12:09:810,67ms
2025/06/27 09:12:11:355,70ms
2025/06/27 09:12:11:491,56ms
2025/06/27 09:12:11:752,61ms
2025/06/27 09:12:13:182,119ms
2025/06/27 09:12:13:296,40ms
2025/06/27 09:12:13:762,121ms
2025/06/27 09:12:13:876,40ms
2025/06/27 09:12:24:065,22ms
2025/06/27 09:12:24:206,35ms
2025/06/27 09:12:34:939,77ms
2025/06/27 09:12:35:736,28ms
2025/06/27 09:12:36:416,33ms
2025/06/27 09:12:36:854,32ms
2025/06/27 09:12:42:107,62ms
2025/06/27 09:12:42:660,21ms
2025/06/27 09:12:42:827,67ms
2025/06/27 09:12:44:252,69ms
2025/06/27 09:12:44:390,56ms
2025/06/27 09:12:44:645,60ms
2025/06/27 09:12:46:083,119ms
2025/06/27 09:12:46:194,40ms
2025/06/27 09:12:46:577,120ms
2025/06/27 09:12:46:688,40ms
2025/06/27 09:12:56:671,22ms
2025/06/27 09:12:56:813,35ms
2025/06/27 09:12:58:384,52ms
2025/06/27 09:13:31:703,77ms
2025/06/27 09:13:32:470,27ms
2025/06/27 09:13:33:138,32ms
2025/06/27 09:13:33:596,32ms
2025/06/27 09:13:38:863,61ms
2025/06/27 09:13:39:413,20ms
2025/06/27 09:13:39:582,67ms
2025/06/27 09:13:41:173,70ms
2025/06/27 09:13:41:311,56ms
2025/06/27 09:13:41:565,60ms
2025/06/27 09:13:42:981,120ms
2025/06/27 09:13:43:096,41ms
2025/06/27 09:13:43:563,120ms
2025/06/27 09:13:43:677,40ms
2025/06/27 09:13:53:799,22ms
2025/06/27 09:13:53:942,36ms
2025/06/27 09:13:56:853,77ms
2025/06/27 09:13:57:654,28ms
2025/06/27 09:13:58:339,32ms
2025/06/27 09:13:58:701,33ms
2025/06/27 09:14:07:978,62ms
2025/06/27 09:14:08:531,20ms
2025/06/27 09:14:08:703,67ms
2025/06/27 09:14:10:129,69ms
2025/06/27 09:14:10:268,56ms
2025/06/27 09:14:10:525,60ms
2025/06/27 09:14:11:964,120ms
2025/06/27 09:14:12:081,40ms
2025/06/27 09:14:12:549,120ms
2025/06/27 09:14:12:660,40ms
2025/06/27 09:14:22:427,22ms
2025/06/27 09:14:22:571,36ms
2025/06/27 09:14:24:010,52ms
2025/06/27 09:14:53:997,77ms
2025/06/27 09:14:54:762,27ms
2025/06/27 09:14:55:434,32ms
2025/06/27 09:14:55:841,32ms
2025/06/27 09:15:01:027,62ms
2025/06/27 09:15:01:576,20ms
2025/06/27 09:15:01:746,67ms
2025/06/27 09:15:03:168,70ms
2025/06/27 09:15:03:305,56ms
2025/06/27 09:15:03:563,60ms
2025/06/27 09:15:05:004,120ms
2025/06/27 09:15:05:118,40ms
2025/06/27 09:15:05:598,120ms
2025/06/27 09:15:05:711,40ms
2025/06/27 09:15:15:454,23ms
2025/06/27 09:15:15:595,34ms
2025/06/27 09:15:18:949,78ms
2025/06/27 09:15:19:756,28ms
2025/06/27 09:15:20:438,32ms
2025/06/27 09:15:20:927,32ms
2025/06/27 09:15:29:904,62ms
2025/06/27 09:15:30:450,20ms
2025/06/27 09:15:30:619,68ms
2025/06/27 09:15:32:220,70ms
2025/06/27 09:15:32:357,56ms
2025/06/27 09:15:32:610,60ms
2025/06/27 09:15:34:041,120ms
2025/06/27 09:15:34:156,40ms
2025/06/27 09:15:34:541,120ms
2025/06/27 09:15:34:653,40ms
2025/06/27 09:15:44:773,22ms
2025/06/27 09:15:44:915,35ms
2025/06/27 09:15:46:363,53ms
2025/06/27 09:16:14:719,77ms
2025/06/27 09:16:15:563,28ms
2025/06/27 09:16:16:217,32ms
2025/06/27 09:16:16:707,32ms
2025/06/27 09:16:21:966,62ms
2025/06/27 09:16:22:510,20ms
2025/06/27 09:16:22:680,68ms
2025/06/27 09:16:24:114,70ms
2025/06/27 09:16:24:252,56ms
2025/06/27 09:16:24:509,60ms
2025/06/27 09:16:25:923,120ms
2025/06/27 09:16:26:037,40ms
2025/06/27 09:16:26:451,120ms
2025/06/27 09:16:26:562,40ms
2025/06/27 09:16:36:268,22ms
2025/06/27 09:16:36:412,36ms
2025/06/27 09:18:18:835,77ms
2025/06/27 09:18:45:507,77ms
2025/06/27 09:18:46:312,27ms
2025/06/27 09:18:46:981,32ms
2025/06/27 09:18:47:431,32ms
2025/06/27 09:18:52:713,62ms
2025/06/27 09:18:53:267,20ms
2025/06/27 09:18:53:435,67ms
2025/06/27 09:18:54:858,70ms
2025/06/27 09:18:54:995,56ms
2025/06/27 09:18:55:248,60ms
2025/06/27 09:18:56:660,119ms
2025/06/27 09:18:56:772,40ms
2025/06/27 09:18:57:224,120ms
2025/06/27 09:18:57:337,40ms
2025/06/27 09:19:07:295,22ms
2025/06/27 09:19:07:439,36ms
2025/06/27 09:19:08:905,52ms
2025/06/27 09:19:10:232,77ms
2025/06/27 09:19:10:993,27ms
2025/06/27 09:19:11:670,32ms
2025/06/27 09:19:12:113,32ms
2025/06/27 09:19:21:851,62ms
2025/06/27 09:19:22:401,20ms
2025/06/27 09:19:22:568,67ms
2025/06/27 09:19:23:999,70ms
2025/06/27 09:19:24:133,56ms
2025/06/27 09:19:24:394,60ms
2025/06/27 09:19:25:817,120ms
2025/06/27 09:19:25:932,40ms
2025/06/27 09:19:26:308,120ms
2025/06/27 09:19:26:422,40ms
2025/06/27 09:19:36:291,22ms
2025/06/27 09:19:36:434,35ms
2025/06/27 09:20:04:768,77ms
2025/06/27 09:20:05:581,27ms
2025/06/27 09:20:06:221,32ms
2025/06/27 09:20:06:673,32ms
2025/06/27 09:20:11:915,62ms
2025/06/27 09:20:12:461,20ms
2025/06/27 09:20:12:633,67ms
2025/06/27 09:20:14:060,70ms
2025/06/27 09:20:14:199,56ms
2025/06/27 09:20:14:448,60ms
2025/06/27 09:20:15:882,120ms
2025/06/27 09:20:15:993,40ms
2025/06/27 09:20:16:412,120ms
2025/06/27 09:20:16:527,40ms
2025/06/27 09:20:26:692,22ms
2025/06/27 09:20:26:835,35ms
2025/06/27 09:20:28:286,52ms
2025/06/27 09:20:49:395,77ms
2025/06/27 09:20:50:203,27ms
2025/06/27 09:20:50:872,32ms
2025/06/27 09:20:51:318,32ms
2025/06/27 09:20:56:560,62ms
2025/06/27 09:20:57:108,20ms
2025/06/27 09:20:57:276,67ms
2025/06/27 09:20:58:712,69ms
2025/06/27 09:20:58:846,56ms
2025/06/27 09:20:59:109,60ms
2025/06/27 09:21:00:545,120ms
2025/06/27 09:21:00:660,40ms
2025/06/27 09:21:01:131,120ms
2025/06/27 09:21:01:243,40ms
2025/06/27 09:21:11:153,22ms
2025/06/27 09:21:11:296,35ms
2025/06/27 09:21:54:395,77ms
2025/06/27 09:21:55:214,27ms
2025/06/27 09:21:55:885,32ms
2025/06/27 09:21:56:298,33ms
2025/06/27 09:22:01:544,62ms
2025/06/27 09:22:02:095,20ms
2025/06/27 09:22:02:263,67ms
2025/06/27 09:22:03:691,70ms
2025/06/27 09:22:03:829,56ms
2025/06/27 09:22:04:086,60ms
2025/06/27 09:22:05:504,120ms
2025/06/27 09:22:05:615,40ms
2025/06/27 09:22:06:086,119ms
2025/06/27 09:22:06:198,40ms
2025/06/27 09:22:15:852,22ms
2025/06/27 09:22:15:993,36ms
2025/06/27 09:22:17:448,52ms
2025/06/27 09:26:30:584,76ms
2025/06/27 09:26:31:435,27ms
2025/06/27 09:26:32:112,31ms
2025/06/27 09:26:32:607,32ms
2025/06/27 09:26:37:892,62ms
2025/06/27 09:26:38:443,20ms
2025/06/27 09:26:38:612,67ms
2025/06/27 09:26:40:039,70ms
2025/06/27 09:26:40:177,55ms
2025/06/27 09:26:40:426,60ms
2025/06/27 09:26:41:853,120ms
2025/06/27 09:26:41:967,40ms
2025/06/27 09:26:42:448,120ms
2025/06/27 09:26:42:559,40ms
2025/06/27 09:26:52:704,28ms
2025/06/27 09:26:52:846,35ms
2025/06/27 09:29:24:909,77ms
2025/06/27 09:29:25:696,27ms
2025/06/27 09:29:26:383,32ms
2025/06/27 09:29:26:833,32ms
2025/06/27 09:29:32:083,61ms
2025/06/27 09:29:32:629,20ms
2025/06/27 09:29:32:796,67ms
2025/06/27 09:29:34:236,70ms
2025/06/27 09:29:34:373,56ms
2025/06/27 09:29:34:624,60ms
2025/06/27 09:29:36:069,120ms
2025/06/27 09:29:36:181,40ms
2025/06/27 09:29:36:618,120ms
2025/06/27 09:29:36:729,41ms
2025/06/27 09:29:46:595,22ms
2025/06/27 09:29:46:738,35ms
2025/06/27 09:29:48:195,52ms
2025/06/27 09:30:59:487,78ms
2025/06/27 09:31:00:290,27ms
2025/06/27 09:31:00:967,32ms
2025/06/27 09:31:01:436,32ms
2025/06/27 09:31:06:698,62ms
2025/06/27 09:31:07:249,20ms
2025/06/27 09:31:07:417,67ms
2025/06/27 09:31:08:844,70ms
2025/06/27 09:31:08:982,57ms
2025/06/27 09:31:09:235,60ms
2025/06/27 09:31:10:666,119ms
2025/06/27 09:31:10:777,40ms
2025/06/27 09:31:11:241,120ms
2025/06/27 09:31:11:355,40ms
2025/06/27 09:31:21:312,22ms
2025/06/27 09:31:21:454,35ms
2025/06/27 09:33:38:182,76ms
2025/06/27 09:33:38:974,27ms
2025/06/27 09:33:39:664,32ms
2025/06/27 09:33:40:103,32ms
2025/06/27 09:33:45:356,62ms
2025/06/27 09:33:45:901,20ms
2025/06/27 09:33:46:069,67ms
2025/06/27 09:33:47:497,70ms
2025/06/27 09:33:47:632,56ms
2025/06/27 09:33:47:886,60ms
2025/06/27 09:33:49:324,120ms
2025/06/27 09:33:49:441,40ms
2025/06/27 09:33:49:953,120ms
2025/06/27 09:33:50:064,40ms
2025/06/27 09:33:59:784,22ms
2025/06/27 09:33:59:925,36ms
2025/06/27 09:34:01:375,52ms
2025/06/27 09:34:58:565,77ms
2025/06/27 09:34:59:334,28ms
2025/06/27 09:35:00:018,32ms
2025/06/27 09:35:00:445,32ms
2025/06/27 09:35:05:642,62ms
2025/06/27 09:35:06:189,20ms
2025/06/27 09:35:06:356,67ms
2025/06/27 09:35:07:790,70ms
2025/06/27 09:35:07:928,56ms
2025/06/27 09:35:08:188,60ms
2025/06/27 09:35:09:615,120ms
2025/06/27 09:35:09:725,40ms
2025/06/27 09:35:10:156,120ms
2025/06/27 09:35:10:270,40ms
2025/06/27 09:35:19:895,22ms
2025/06/27 09:35:20:036,35ms
2025/06/27 09:37:52:785,77ms
2025/06/27 09:37:53:578,27ms
2025/06/27 09:37:54:239,32ms
2025/06/27 09:37:54:550,32ms
2025/06/27 09:37:59:704,62ms
2025/06/27 09:38:00:258,20ms
2025/06/27 09:38:00:426,67ms
2025/06/27 09:38:01:855,70ms
2025/06/27 09:38:01:989,56ms
2025/06/27 09:38:02:237,60ms
2025/06/27 09:38:03:645,119ms
2025/06/27 09:38:03:755,40ms
2025/06/27 09:38:04:188,121ms
2025/06/27 09:38:04:300,41ms
2025/06/27 09:38:14:249,22ms
2025/06/27 09:38:14:390,35ms
2025/06/27 09:38:15:848,52ms
2025/06/27 09:38:24:610,77ms
2025/06/27 09:38:25:389,28ms
2025/06/27 09:38:26:067,32ms
2025/06/27 09:38:26:518,32ms
2025/06/27 09:38:31:757,62ms
2025/06/27 09:38:32:310,20ms
2025/06/27 09:38:32:479,67ms
2025/06/27 09:38:33:902,70ms
2025/06/27 09:38:34:041,56ms
2025/06/27 09:38:34:299,60ms
2025/06/27 09:38:35:705,120ms
2025/06/27 09:38:35:816,40ms
2025/06/27 09:38:36:241,120ms
2025/06/27 09:38:36:354,40ms
2025/06/27 09:38:46:249,22ms
2025/06/27 09:38:46:392,35ms
2025/06/27 09:39:47:922,77ms
2025/06/27 09:39:48:770,27ms
2025/06/27 09:39:49:440,32ms
2025/06/27 09:39:49:867,32ms
2025/06/27 09:39:55:098,62ms
2025/06/27 09:39:55:641,20ms
2025/06/27 09:39:55:810,67ms
2025/06/27 09:39:57:243,70ms
2025/06/27 09:39:57:376,56ms
2025/06/27 09:39:57:634,60ms
2025/06/27 09:39:59:090,120ms
2025/06/27 09:39:59:205,40ms
2025/06/27 09:39:59:533,120ms
2025/06/27 09:39:59:643,40ms
2025/06/27 09:40:09:588,22ms
2025/06/27 09:40:09:732,35ms
2025/06/27 09:40:11:189,52ms
2025/06/27 09:40:28:338,77ms
2025/06/27 09:40:29:113,27ms
2025/06/27 09:40:29:759,32ms
2025/06/27 09:40:30:188,32ms
2025/06/27 09:40:35:399,62ms
2025/06/27 09:40:35:944,20ms
2025/06/27 09:40:36:112,67ms
2025/06/27 09:40:37:547,69ms
2025/06/27 09:40:37:681,56ms
2025/06/27 09:40:37:928,60ms
2025/06/27 09:40:39:364,120ms
2025/06/27 09:40:39:479,40ms
2025/06/27 09:40:39:902,120ms
2025/06/27 09:40:40:018,40ms
2025/06/27 09:40:50:132,22ms
2025/06/27 09:40:50:275,35ms
2025/06/27 09:43:40:164,77ms
2025/06/27 09:43:40:984,27ms
2025/06/27 09:43:41:654,32ms
2025/06/27 09:43:42:113,32ms
2025/06/27 09:43:47:348,62ms
2025/06/27 09:43:47:903,19ms
2025/06/27 09:43:48:072,67ms
2025/06/27 09:43:49:502,70ms
2025/06/27 09:43:49:638,56ms
2025/06/27 09:43:49:898,60ms
2025/06/27 09:43:51:338,119ms
2025/06/27 09:43:51:453,40ms
2025/06/27 09:43:51:896,120ms
2025/06/27 09:43:52:012,40ms
2025/06/27 09:44:01:829,22ms
2025/06/27 09:44:01:972,35ms
2025/06/27 09:44:03:432,52ms
2025/06/27 09:50:11:568,77ms
2025/06/27 09:50:12:384,27ms
2025/06/27 09:50:13:056,32ms
2025/06/27 09:50:13:489,32ms
2025/06/27 09:50:18:714,62ms
2025/06/27 09:50:19:260,20ms
2025/06/27 09:50:19:430,68ms
2025/06/27 09:50:20:851,70ms
2025/06/27 09:50:20:985,56ms
2025/06/27 09:50:21:245,60ms
2025/06/27 09:50:22:659,120ms
2025/06/27 09:50:22:772,40ms
2025/06/27 09:50:23:220,120ms
2025/06/27 09:50:23:337,41ms
2025/06/27 09:50:33:400,22ms
2025/06/27 09:50:33:541,35ms
2025/06/27 09:53:29:886,77ms
2025/06/27 09:53:30:786,27ms
2025/06/27 09:53:31:469,32ms
2025/06/27 09:53:31:945,32ms
2025/06/27 09:53:37:208,62ms
2025/06/27 09:53:37:760,20ms
2025/06/27 09:53:37:926,67ms
2025/06/27 09:53:39:353,70ms
2025/06/27 09:53:39:489,56ms
2025/06/27 09:53:39:741,60ms
2025/06/27 09:53:41:175,120ms
2025/06/27 09:53:41:290,40ms
2025/06/27 09:53:41:747,119ms
2025/06/27 09:53:41:858,40ms
2025/06/27 09:53:52:047,22ms
2025/06/27 09:53:52:191,35ms
2025/06/27 09:53:53:658,52ms
2025/06/27 10:11:50:301,77ms
2025/06/27 10:11:51:149,27ms
2025/06/27 10:11:51:817,33ms
2025/06/27 10:11:52:328,33ms
2025/06/27 10:11:57:658,62ms
2025/06/27 10:11:58:206,20ms
2025/06/27 10:11:58:375,67ms
2025/06/27 10:11:59:961,70ms
2025/06/27 10:12:00:099,56ms
2025/06/27 10:12:00:355,60ms
2025/06/27 10:12:01:788,120ms
2025/06/27 10:12:01:901,40ms
2025/06/27 10:12:02:382,120ms
2025/06/27 10:12:02:496,40ms
2025/06/27 10:12:12:569,22ms
2025/06/27 10:12:12:710,35ms
2025/06/27 10:18:00:843,77ms
2025/06/27 10:18:01:654,27ms
2025/06/27 10:18:02:340,31ms
2025/06/27 10:18:02:836,32ms
2025/06/27 10:18:08:162,62ms
2025/06/27 10:18:08:709,20ms
2025/06/27 10:18:08:879,68ms
2025/06/27 10:18:10:303,71ms
2025/06/27 10:18:10:442,55ms
2025/06/27 10:18:10:696,60ms
2025/06/27 10:18:12:129,120ms
2025/06/27 10:18:12:241,40ms
2025/06/27 10:18:12:755,120ms
2025/06/27 10:18:12:867,40ms
2025/06/27 10:18:22:975,22ms
2025/06/27 10:18:23:115,35ms
2025/06/27 10:18:24:584,52ms
2025/06/27 10:19:12:216,77ms
2025/06/27 10:19:12:995,28ms
2025/06/27 10:19:13:683,33ms
2025/06/27 10:19:14:097,32ms
2025/06/27 10:19:19:374,62ms
2025/06/27 10:19:19:914,20ms
2025/06/27 10:19:20:084,67ms
2025/06/27 10:19:22:009,70ms
2025/06/27 10:19:22:145,56ms
2025/06/27 10:19:22:398,60ms
2025/06/27 10:19:23:825,120ms
2025/06/27 10:19:23:941,40ms
2025/06/27 10:19:24:373,120ms
2025/06/27 10:19:24:485,40ms
2025/06/27 10:19:34:449,22ms
2025/06/27 10:19:34:593,34ms
2025/06/27 10:20:13:017,77ms
2025/06/27 10:20:13:825,27ms
2025/06/27 10:20:14:499,32ms
2025/06/27 10:20:14:899,32ms
2025/06/27 10:20:20:152,62ms
2025/06/27 10:20:20:705,20ms
2025/06/27 10:20:20:873,67ms
2025/06/27 10:20:22:300,70ms
2025/06/27 10:20:22:439,56ms
2025/06/27 10:20:22:692,60ms
2025/06/27 10:20:24:155,120ms
2025/06/27 10:20:24:266,40ms
2025/06/27 10:20:24:604,120ms
2025/06/27 10:20:24:716,40ms
2025/06/27 10:20:34:863,22ms
2025/06/27 10:20:35:004,35ms
2025/06/27 10:20:36:455,52ms
2025/06/27 10:22:42:553,77ms
2025/06/27 10:22:43:385,27ms
2025/06/27 10:22:44:023,32ms
2025/06/27 10:22:44:493,32ms
2025/06/27 10:22:49:837,63ms
2025/06/27 10:22:50:385,20ms
2025/06/27 10:22:50:553,67ms
2025/06/27 10:22:52:176,70ms
2025/06/27 10:22:52:315,56ms
2025/06/27 10:22:52:575,60ms
2025/06/27 10:22:54:004,120ms
2025/06/27 10:22:54:119,40ms
2025/06/27 10:22:54:628,120ms
2025/06/27 10:22:54:739,40ms
2025/06/27 10:23:04:402,22ms
2025/06/27 10:23:04:543,35ms
2025/06/27 10:24:41:101,77ms
2025/06/27 10:24:41:905,27ms
2025/06/27 10:24:42:585,33ms
2025/06/27 10:24:43:279,32ms
2025/06/27 10:24:48:554,63ms
2025/06/27 10:24:49:097,20ms
2025/06/27 10:24:49:265,67ms
2025/06/27 10:24:50:703,70ms
2025/06/27 10:24:50:837,56ms
2025/06/27 10:24:51:093,60ms
2025/06/27 10:24:52:526,120ms
2025/06/27 10:24:52:637,40ms
2025/06/27 10:24:53:075,120ms
2025/06/27 10:24:53:188,40ms
2025/06/27 10:25:03:164,22ms
2025/06/27 10:25:03:307,35ms
2025/06/27 10:25:05:227,52ms
2025/06/27 10:25:47:454,77ms
2025/06/27 10:25:48:227,27ms
2025/06/27 10:25:48:896,32ms
2025/06/27 10:25:49:333,32ms
2025/06/27 10:25:54:549,62ms
2025/06/27 10:25:55:102,20ms
2025/06/27 10:25:55:271,67ms
2025/06/27 10:25:56:699,70ms
2025/06/27 10:25:56:833,56ms
2025/06/27 10:25:57:085,60ms
2025/06/27 10:25:58:485,120ms
2025/06/27 10:25:58:601,40ms
2025/06/27 10:25:59:079,120ms
2025/06/27 10:25:59:191,40ms
2025/06/27 10:26:09:360,23ms
2025/06/27 10:26:09:502,36ms
2025/06/27 10:27:28:485,77ms
2025/06/27 10:27:29:264,28ms
2025/06/27 10:27:29:943,32ms
2025/06/27 10:27:30:426,32ms
2025/06/27 10:27:35:731,62ms
2025/06/27 10:27:36:283,20ms
2025/06/27 10:27:36:451,67ms
2025/06/27 10:27:37:869,70ms
2025/06/27 10:27:38:004,56ms
2025/06/27 10:27:38:264,60ms
2025/06/27 10:27:39:720,119ms
2025/06/27 10:27:39:835,40ms
2025/06/27 10:27:40:314,120ms
2025/06/27 10:27:40:426,40ms
2025/06/27 10:27:50:653,22ms
2025/06/27 10:27:50:795,35ms
2025/06/27 10:27:52:421,52ms
2025/06/27 10:28:10:913,77ms
2025/06/27 10:28:11:706,27ms
2025/06/27 10:28:12:389,33ms
2025/06/27 10:28:12:879,32ms
2025/06/27 10:28:18:115,62ms
2025/06/27 10:28:18:661,20ms
2025/06/27 10:28:18:829,68ms
2025/06/27 10:28:20:395,70ms
2025/06/27 10:28:20:534,55ms
2025/06/27 10:28:20:791,60ms
2025/06/27 10:28:22:236,120ms
2025/06/27 10:28:22:350,40ms
2025/06/27 10:28:22:885,119ms
2025/06/27 10:28:23:001,40ms
2025/06/27 10:28:33:145,23ms
2025/06/27 10:28:33:288,36ms
2025/06/27 10:30:08:532,77ms
2025/06/27 10:30:09:358,27ms
2025/06/27 10:30:10:053,32ms
2025/06/27 10:30:10:463,32ms
2025/06/27 10:30:15:659,62ms
2025/06/27 10:30:16:206,20ms
2025/06/27 10:30:16:375,67ms
2025/06/27 10:30:18:170,70ms
2025/06/27 10:30:18:308,56ms
