开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站,日期
2025-06-16 22:01:04,2025/6/16 22:02:50,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,106.69,S4,2025-06-16
2025-06-16 22:32:59,2025/6/16 22:33:08,C02PNCY-45-03,Positioning platform 1Carrier rotary clamping cylinder alarm,定位平台1Carrier旋转夹紧气缸报警,Cylinder Error,8.45,S4,2025-06-16
2025-06-16 22:33:57,2025/6/16 22:34:20,C02PNCY-45-03,Positioning platform 1Carrier rotary clamping cylinder alarm,定位平台1Carrier旋转夹紧气缸报警,Cylinder Error,23.57,S4,2025-06-16
2025-06-17 02:00:04,2025/6/17 2:00:11,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,6.84,S4,2025-06-17
2025-06-17 01:58:41,2025/6/17 1:58:46,F01ESSE-01-03,Emergency Stop Alarm,设备急停报警,Safety Error,5.01,S2,2025-06-17
2025-06-17 03:10:50,2025/6/17 3:10:57,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,6.5,S4,2025-06-17
2025-06-17 03:09:27,2025/6/17 3:09:29,M99EEDE-04-03,1# Loading Y-axis - Alarm,1#Carrier上料Y轴报警,Motion Error,2.2,S2,2025-06-17
2025-06-17 03:10:58,2025/6/17 3:11:24,S02SSSP-98-03,Returnline Block Outflow Sensor Alarm,回流线阻挡流出检测报警,Sensor Error,26.03,S2,2025-06-17
2025-06-17 05:58:40,2025/6/17 5:59:26,C04PNCY-24-03,Mainline Updown2 Cylinder Alarm ,YV0206_主流线顶升2上顶气缸报警,Cylinder Error,46.73,S2,2025-06-17
2025-06-17 06:02:38,2025/6/17 6:02:46,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,7.62,S4,2025-06-17
2025-06-17 06:10:20,2025/6/17 6:10:25,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,5.04,S4,2025-06-17
2025-06-17 06:25:23,2025/6/17 6:25:47,V02VSDV-115-03,Pop up: Platform 1 group Bracket on the camera to take a photo NG!,弹窗:平台1组Bracket上相机拍照NG!,Vision Error,23.94,S4,2025-06-17
2025-06-17 07:14:33,2025/6/17 7:14:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,17.57,S2,2025-06-17
2025-06-17 07:24:18,2025/6/17 7:24:48,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,29.36,S2,2025-06-17
2025-06-17 07:25:07,2025/6/17 7:25:35,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,28.38,S2,2025-06-17
2025-06-17 07:25:36,2025/6/17 7:25:44,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,8.55,S2,2025-06-17
2025-06-17 07:25:44,2025/6/17 7:25:51,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,6.07,S2,2025-06-17
2025-06-17 07:41:41,2025/6/17 7:41:52,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,10.79,S2,2025-06-17
2025-06-17 08:09:05,2025/6/17 8:09:19,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,13.89,S4,2025-06-17
2025-06-17 08:38:33,2025/6/17 8:39:39,U01VGVV-63-03,Mainline Updown2 CHG Vacuum Alarm ,YVV0207_主流线顶升2吸CHG真空报警,Vacuum Error,65.78,S2,2025-06-17
2025-06-17 09:34:14,2025/6/17 9:34:14,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,0.2,S4,2025-06-17
2025-06-17 09:33:16,2025/6/17 9:33:22,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,5.43,S2,2025-06-17
2025-06-17 13:06:57,2025/6/17 13:07:19,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,21.87,S2,2025-06-17
2025-06-17 13:27:52,2025/6/17 13:28:13,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,21.55,S2,2025-06-17
2025-06-17 13:49:54,2025/6/17 13:50:25,C02PNCY-28-03,Mainline top up 1 top cylinder alarm,主流线顶升1上顶气缸报警,Cylinder Error,31.17,S5,2025-06-17
2025-06-17 14:16:33,2025/6/17 14:16:33,V03VSDV-64-03,CCD1 SPK Assembly Connect Failed,CCD1-SPK组装-连接失败,Vision Error,0.42,S2,2025-06-17
2025-06-17 14:16:37,2025/6/17 14:18:37,V03VSDV-64-03,CCD1 SPK Assembly Connect Failed,CCD1-SPK组装-连接失败,Vision Error,119.41,S2,2025-06-17
2025-06-17 14:37:49,2025/6/17 14:38:06,C04PNCY-19-03,Mainline Updown1 Blocking Cylinder Alarm ,YV0201_主流线顶升1阻挡气缸报警,Cylinder Error,16.8,S3,2025-06-17
2025-06-17 14:38:38,2025/6/17 14:39:03,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,25.29,S2,2025-06-17
2025-06-17 14:39:26,2025/6/17 14:40:12,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,46.22,S2,2025-06-17
2025-06-17 14:43:41,2025/6/17 14:43:59,C04PNCY-19-03,Mainline Updown1 Blocking Cylinder Alarm ,YV0201_主流线顶升1阻挡气缸报警,Cylinder Error,17.77,S3,2025-06-17
2025-06-17 14:53:11,2025/6/17 14:53:25,C02PNCY-28-03,Mainline top up 1 top cylinder alarm,主流线顶升1上顶气缸报警,Cylinder Error,13.38,S5,2025-06-17
2025-06-17 15:04:06,2025/6/17 15:04:18,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,11.22,S2,2025-06-17
2025-06-17 15:04:48,2025/6/17 15:05:29,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,41.19,S2,2025-06-17
2025-06-17 15:07:44,2025/6/17 15:07:54,C04PNCY-19-03,Mainline Updown1 Blocking Cylinder Alarm ,YV0201_主流线顶升1阻挡气缸报警,Cylinder Error,9.78,S2,2025-06-17
2025-06-17 15:12:44,2025/6/17 15:12:56,C02PNCY-28-03,Mainline top up 1 top cylinder alarm,主流线顶升1上顶气缸报警,Cylinder Error,12.13,S4,2025-06-17
2025-06-17 15:37:35,2025/6/17 15:39:15,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,99.66,S2,2025-06-17
2025-06-17 15:39:44,2025/6/17 15:39:54,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,9.38,S2,2025-06-17
2025-06-17 15:40:23,2025/6/17 15:40:31,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,7.56,S2,2025-06-17
2025-06-17 15:41:30,2025/6/17 15:41:41,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,10.72,S2,2025-06-17
2025-06-17 18:25:32,2025/6/17 18:25:55,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,22.7,S2,2025-06-17
2025-06-17 19:01:16,2025/6/17 19:01:46,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,30.32,S4,2025-06-17
2025-06-17 19:28:18,2025/6/17 19:29:07,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,48.62,S2,2025-06-17
2025-06-17 19:41:39,2025/6/17 19:42:02,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,22.78,S2,2025-06-17
2025-06-17 21:16:59,2025/6/17 21:17:24,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,25.15,S2,2025-06-17
2025-06-17 21:46:30,2025/6/17 21:46:36,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,5.53,S2,2025-06-17
2025-06-18 01:45:06,2025/6/18 1:45:17,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,11.03,S2,2025-06-18
2025-06-18 08:14:35,2025/6/18 8:14:35,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,0.11,S4,2025-06-18
2025-06-18 08:19:14,2025/6/18 8:19:16,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,2.04,S2,2025-06-18
2025-06-18 08:20:05,2025/6/18 8:23:38,U01VGVV-63-03,Mainline Updown2 CHG Vacuum Alarm ,YVV0207_主流线顶升2吸CHG真空报警,Vacuum Error,213.03,S2,2025-06-18
2025-06-18 09:08:24,2025/6/18 9:08:29,C04PNCY-25-03,Mainline Updown2 Holder Unlocking Cylinder Alarm ,YV0207_主流线顶升2 Holder解锁气缸报警,Cylinder Error,4.98,S2,2025-06-18
2025-06-18 12:39:34,2025/6/18 12:39:49,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,15.92,S2,2025-06-18
2025-06-18 13:33:07,2025/6/18 13:33:22,C04PNCY-30-03,Mainline Updown3 Carrier Opening Cylinder Alarm ,YV0212_主流线顶升3Carrier压料打开气缸报警,Cylinder Error,14.58,S2,2025-06-18
2025-06-18 13:33:32,2025/6/18 13:34:22,C04PNCY-30-03,Mainline Updown3 Carrier Opening Cylinder Alarm ,YV0212_主流线顶升3Carrier压料打开气缸报警,Cylinder Error,50.05,S2,2025-06-18
2025-06-18 14:25:38,2025/6/18 14:25:48,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,10.08,S2,2025-06-18
2025-06-18 15:14:55,2025/6/18 15:16:08,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,72.92,S2,2025-06-18
2025-06-18 15:16:36,2025/6/18 15:17:12,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,35.32,S2,2025-06-18
2025-06-18 16:06:55,2025/6/18 16:07:24,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,29.07,S4,2025-06-18
2025-06-18 16:13:37,2025/6/18 16:14:15,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,37.97,S4,2025-06-18
2025-06-18 16:12:32,2025/6/18 16:13:18,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,46.77,S2,2025-06-18
2025-06-18 16:16:36,2025/6/18 16:16:41,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,4.65,S4,2025-06-18
2025-06-18 16:23:44,2025/6/18 16:24:14,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,30.18,S2,2025-06-18
2025-06-18 16:28:13,2025/6/18 16:28:20,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,7.3,S4,2025-06-18
2025-06-18 16:34:56,2025/6/18 16:35:13,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,17.63,S4,2025-06-18
2025-06-18 18:12:07,2025/6/18 18:12:39,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,31.56,S2,2025-06-18
2025-06-18 18:27:29,2025/6/18 18:28:02,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,32.67,S2,2025-06-18
2025-06-18 18:38:26,2025/6/18 18:39:42,C04PNCY-24-03,Mainline Updown2 Cylinder Alarm ,YV0206_主流线顶升2上顶气缸报警,Cylinder Error,75.71,S2,2025-06-18
2025-06-18 18:55:19,2025/6/18 18:55:30,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,10.69,S4,2025-06-18
2025-06-18 19:10:31,2025/6/18 19:11:12,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,40.49,S2,2025-06-18
2025-06-18 19:11:12,2025/6/18 19:11:14,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,1.88,S2,2025-06-18
2025-06-18 19:11:15,2025/6/18 19:11:55,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,40.44,S2,2025-06-18
2025-06-18 19:12:25,2025/6/18 19:13:44,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,78.72,S2,2025-06-18
2025-06-18 19:24:13,2025/6/18 19:24:50,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,37.26,S4,2025-06-18
2025-06-18 19:25:01,2025/6/18 19:26:31,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,89.32,S4,2025-06-18
2025-06-18 20:59:00,2025/6/18 20:59:19,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,19.1,S2,2025-06-18
2025-06-18 20:59:19,2025/6/18 21:00:35,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,76.17,S2,2025-06-18
2025-06-18 21:11:04,2025/6/18 21:11:12,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,7.56,S2,2025-06-18
2025-06-18 21:45:41,2025/6/18 21:47:04,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,83.11,S2,2025-06-18
2025-06-18 21:47:41,2025/6/18 21:48:17,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,36.31,S2,2025-06-18
2025-06-18 22:17:51,2025/6/18 22:17:59,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,8.6,S4,2025-06-18
2025-06-18 22:16:15,2025/6/18 22:16:16,U01VGVV-180-03,Popup:CHG Feeding Vacuum Alarm,弹窗：CHG取料真空报警,Vacuum Error,0.6,S2,2025-06-18
2025-06-18 22:21:53,2025/6/18 22:22:08,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,15.21,S4,2025-06-18
2025-06-18 22:26:20,2025/6/18 22:26:37,V02VSDV-139-03,Pop-up window: Gun 1 takes 2 to detect whether there is a photo NG,弹窗:枪1取2有无检测拍照NG,Vision Error,16.94,S4,2025-06-18
2025-06-18 22:26:51,2025/6/18 22:27:01,V02VSDV-139-03,Pop-up window: Gun 1 takes 2 to detect whether there is a photo NG,弹窗:枪1取2有无检测拍照NG,Vision Error,9.87,S4,2025-06-18
2025-06-18 22:34:14,2025/6/18 22:36:23,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,129.1,S2,2025-06-18
2025-06-18 23:03:57,2025/6/18 23:05:11,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,73.85,S2,2025-06-18
2025-06-18 23:08:16,2025/6/18 23:08:23,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,6.89,S2,2025-06-18
2025-06-18 23:14:43,2025/6/18 23:14:44,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,1.49,S4,2025-06-18
2025-06-18 23:13:00,2025/6/18 23:13:11,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,10.99,S2,2025-06-18
2025-06-18 23:17:20,2025/6/18 23:17:27,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,6.59,S4,2025-06-18
2025-06-18 23:17:38,2025/6/18 23:17:44,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,6.13,S4,2025-06-18
2025-06-19 01:05:06,2025/6/19 1:05:47,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,40.38,S2,2025-06-19
2025-06-19 08:06:27,2025/6/19 8:06:32,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,4.52,S4,2025-06-19
2025-06-19 08:42:11,2025/6/19 8:42:37,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,26.02,S2,2025-06-19
2025-06-19 09:30:31,2025/6/19 9:30:47,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,16.27,S2,2025-06-19
2025-06-19 10:47:04,2025/6/19 10:47:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,46.29,S2,2025-06-19
2025-06-19 11:04:45,2025/6/19 11:04:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,4.87,S2,2025-06-19
2025-06-19 11:05:19,2025/6/19 11:05:26,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,7.79,S2,2025-06-19
2025-06-19 12:39:09,2025/6/19 12:39:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,40.66,S2,2025-06-19
2025-06-19 12:53:31,2025/6/19 12:53:42,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,11.15,S2,2025-06-19
2025-06-19 13:26:50,2025/6/19 13:27:14,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,23.88,S2,2025-06-19
2025-06-19 16:18:52,2025/6/19 20:28:35,V03VSDV-64-03,CCD1 SPK Assembly Connect Failed,CCD1-SPK组装-连接失败,Vision Error,14982.63,S2,2025-06-19
2025-06-19 21:03:31,2025/6/19 21:04:35,V03VSDV-108-03,CCD1 communication connection abnormality,CCD1通讯连接异常,Vision Error,63.34,S4,2025-06-19
2025-06-19 21:06:43,2025/6/19 21:07:54,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,70.49,S2,2025-06-19
2025-06-20 08:34:53,2025/6/20 8:34:57,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,4.24,S4,2025-06-20
2025-06-20 08:35:21,2025/6/20 8:35:49,U01VGVV-63-03,Mainline Updown2 CHG Vacuum Alarm ,YVV0207_主流线顶升2吸CHG真空报警,Vacuum Error,27.8,S2,2025-06-20
2025-06-20 08:36:04,2025/6/20 8:37:54,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,109.29,S2,2025-06-20
2025-06-20 14:36:57,2025/6/20 14:37:26,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,29.63,S2,2025-06-20
2025-06-20 14:37:37,2025/6/20 14:38:12,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,34.62,S2,2025-06-20
2025-06-20 14:40:55,2025/6/20 14:41:02,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,7.51,S4,2025-06-20
2025-06-20 14:42:11,2025/6/20 14:42:31,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,20.57,S2,2025-06-20
2025-06-20 14:44:36,2025/6/20 14:45:12,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,36.14,S2,2025-06-20
2025-06-20 14:45:12,2025/6/20 14:45:54,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,41.83,S2,2025-06-20
2025-06-20 14:45:55,2025/6/20 14:46:31,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,36.52,S2,2025-06-20
2025-06-20 14:45:22,2025/6/20 14:48:47,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,205.38,S4,2025-06-20
2025-06-20 14:48:49,2025/6/20 14:48:50,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,0.55,S4,2025-06-20
2025-06-20 14:48:52,2025/6/20 14:48:52,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,0.6,S4,2025-06-20
2025-06-20 14:48:54,2025/6/20 14:50:04,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,69.2,S4,2025-06-20
2025-06-20 14:50:06,2025/6/20 14:50:29,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,23.9,S4,2025-06-20
2025-06-20 15:07:13,2025/6/20 15:08:28,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,75.64,S2,2025-06-20
2025-06-20 15:13:48,2025/6/20 15:14:12,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,23.67,S2,2025-06-20
2025-06-21 01:36:47,2025/6/21 1:36:56,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,9.08,S4,2025-06-21
2025-06-21 01:35:18,2025/6/21 1:35:23,F01ESSE-01-03,Emergency Stop Alarm,设备急停报警,Safety Error,5.33,S2,2025-06-21
2025-06-21 15:09:05,2025/6/21 15:10:03,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,58.42,S2,2025-06-21
