时间,采集时间
2025/06/25 14:37:00:942,56ms
2025/06/25 14:37:01:191,60ms
2025/06/25 14:37:02:646,120ms
2025/06/25 14:37:02:757,40ms
2025/06/25 14:37:03:246,120ms
2025/06/25 14:37:03:357,40ms
2025/06/25 14:37:13:237,27ms
2025/06/25 14:37:13:373,35ms
2025/06/25 14:37:32:095,52ms
2025/06/25 14:39:44:998,77ms
2025/06/25 14:39:45:791,27ms
2025/06/25 14:39:46:472,32ms
2025/06/25 14:39:46:877,32ms
2025/06/25 14:39:52:261,128ms
2025/06/25 14:39:52:837,44ms
2025/06/25 14:39:52:971,35ms
2025/06/25 14:39:54:397,70ms
2025/06/25 14:39:54:535,56ms
2025/06/25 14:39:54:791,60ms
2025/06/25 14:39:56:251,120ms
2025/06/25 14:39:56:364,40ms
2025/06/25 14:39:56:865,120ms
2025/06/25 14:39:56:981,40ms
2025/06/25 14:40:06:309,27ms
2025/06/25 14:40:06:447,35ms
2025/06/25 14:41:14:849,77ms
2025/06/25 14:41:15:675,27ms
2025/06/25 14:41:16:359,32ms
2025/06/25 14:41:16:801,32ms
2025/06/25 14:41:22:246,128ms
2025/06/25 14:41:22:818,44ms
2025/06/25 14:41:22:954,35ms
2025/06/25 14:41:24:373,70ms
2025/06/25 14:41:24:509,56ms
2025/06/25 14:41:24:762,60ms
2025/06/25 14:41:26:206,120ms
2025/06/25 14:41:26:322,40ms
2025/06/25 14:41:26:795,120ms
2025/06/25 14:41:26:906,40ms
2025/06/25 14:41:36:670,27ms
2025/06/25 14:41:36:806,35ms
2025/06/25 14:41:38:244,51ms
2025/06/25 14:43:10:803,77ms
2025/06/25 14:43:11:605,27ms
2025/06/25 14:43:12:283,32ms
2025/06/25 14:43:12:758,32ms
2025/06/25 14:43:18:192,128ms
2025/06/25 14:43:18:766,44ms
2025/06/25 14:43:18:905,35ms
2025/06/25 14:43:20:317,71ms
2025/06/25 14:43:20:452,56ms
2025/06/25 14:43:20:710,60ms
2025/06/25 14:43:22:146,120ms
2025/06/25 14:43:22:261,40ms
2025/06/25 14:43:22:824,120ms
2025/06/25 14:43:22:939,40ms
2025/06/25 14:43:32:510,27ms
2025/06/25 14:43:32:651,35ms
2025/06/25 14:43:40:316,78ms
2025/06/25 14:43:41:100,27ms
2025/06/25 14:43:41:790,32ms
2025/06/25 14:43:42:273,32ms
2025/06/25 14:46:00:899,128ms
2025/06/25 14:46:01:473,44ms
2025/06/25 14:46:01:609,35ms
2025/06/25 14:46:03:029,70ms
2025/06/25 14:46:03:163,56ms
2025/06/25 14:46:03:417,60ms
2025/06/25 14:46:04:883,120ms
2025/06/25 14:46:04:999,40ms
2025/06/25 14:46:05:439,120ms
2025/06/25 14:46:05:550,40ms
2025/06/25 14:46:15:172,27ms
2025/06/25 14:46:15:307,35ms
2025/06/25 14:46:16:740,52ms
2025/06/25 14:46:18:059,77ms
2025/06/25 14:46:18:857,27ms
2025/06/25 14:46:19:534,32ms
2025/06/25 14:46:20:020,32ms
2025/06/25 14:46:29:707,128ms
2025/06/25 14:46:30:275,44ms
2025/06/25 14:46:30:411,35ms
2025/06/25 14:46:31:824,70ms
2025/06/25 14:46:31:957,56ms
2025/06/25 14:46:32:208,60ms
2025/06/25 14:46:33:673,120ms
2025/06/25 14:46:33:784,40ms
2025/06/25 14:46:34:292,120ms
2025/06/25 14:46:34:406,40ms
2025/06/25 14:46:44:112,27ms
2025/06/25 14:46:44:247,35ms
2025/06/25 14:47:52:266,77ms
2025/06/25 14:47:53:085,27ms
2025/06/25 14:47:53:777,32ms
2025/06/25 14:47:54:253,32ms
2025/06/25 14:47:59:707,128ms
2025/06/25 14:48:00:280,44ms
2025/06/25 14:48:00:415,35ms
2025/06/25 14:48:01:825,70ms
2025/06/25 14:48:01:961,56ms
2025/06/25 14:48:02:216,60ms
2025/06/25 14:48:03:657,120ms
2025/06/25 14:48:03:770,40ms
2025/06/25 14:48:04:233,120ms
2025/06/25 14:48:04:344,40ms
2025/06/25 14:48:13:980,27ms
2025/06/25 14:48:14:120,35ms
2025/06/25 14:48:15:555,52ms
2025/06/25 15:01:11:262,77ms
2025/06/25 15:01:12:068,27ms
2025/06/25 15:01:12:745,32ms
2025/06/25 15:01:13:243,32ms
2025/06/25 15:01:18:711,128ms
2025/06/25 15:01:19:285,44ms
2025/06/25 15:01:19:425,35ms
2025/06/25 15:01:20:846,70ms
2025/06/25 15:01:20:985,56ms
2025/06/25 15:01:21:245,60ms
2025/06/25 15:01:22:716,120ms
2025/06/25 15:01:22:828,40ms
2025/06/25 15:01:23:327,120ms
2025/06/25 15:01:23:441,40ms
2025/06/25 15:01:33:353,27ms
2025/06/25 15:01:33:492,35ms
2025/06/25 15:02:10:820,77ms
2025/06/25 15:02:11:600,27ms
2025/06/25 15:02:12:297,32ms
2025/06/25 15:02:12:797,32ms
2025/06/25 15:02:18:247,128ms
2025/06/25 15:02:18:822,44ms
2025/06/25 15:02:18:961,35ms
2025/06/25 15:02:20:378,70ms
2025/06/25 15:02:20:516,56ms
2025/06/25 15:02:20:774,60ms
2025/06/25 15:02:22:206,120ms
2025/06/25 15:02:22:318,40ms
2025/06/25 15:02:22:747,120ms
2025/06/25 15:02:22:860,40ms
2025/06/25 15:02:32:335,27ms
2025/06/25 15:02:32:477,35ms
2025/06/25 15:02:33:910,52ms
2025/06/25 15:06:46:356,77ms
2025/06/25 15:06:47:183,27ms
2025/06/25 15:06:47:860,32ms
2025/06/25 15:06:48:316,32ms
2025/06/25 15:06:53:767,128ms
2025/06/25 15:06:54:344,44ms
2025/06/25 15:06:54:480,35ms
2025/06/25 15:06:55:903,70ms
2025/06/25 15:06:56:039,56ms
2025/06/25 15:06:56:299,60ms
2025/06/25 15:06:57:737,120ms
2025/06/25 15:06:57:848,40ms
2025/06/25 15:06:58:285,120ms
2025/06/25 15:06:58:398,40ms
2025/06/25 15:07:08:117,27ms
2025/06/25 15:07:08:257,35ms
2025/06/25 15:07:10:711,77ms
2025/06/25 15:07:11:564,27ms
2025/06/25 15:07:12:240,32ms
2025/06/25 15:07:12:724,32ms
2025/06/25 15:07:22:192,128ms
2025/06/25 15:07:22:768,44ms
2025/06/25 15:07:22:903,35ms
2025/06/25 15:07:24:318,70ms
2025/06/25 15:07:24:453,56ms
2025/06/25 15:07:24:712,60ms
2025/06/25 15:07:26:163,120ms
2025/06/25 15:07:26:273,40ms
2025/06/25 15:07:26:729,120ms
2025/06/25 15:07:26:841,40ms
2025/06/25 15:07:36:664,27ms
2025/06/25 15:07:36:800,35ms
2025/06/25 15:07:38:226,52ms
2025/06/25 15:09:21:218,77ms
2025/06/25 15:09:21:974,27ms
2025/06/25 15:09:22:654,32ms
2025/06/25 15:09:23:097,32ms
2025/06/25 15:09:28:562,128ms
2025/06/25 15:09:29:141,44ms
2025/06/25 15:09:29:277,35ms
2025/06/25 15:09:30:685,70ms
2025/06/25 15:09:30:819,56ms
2025/06/25 15:09:31:075,60ms
2025/06/25 15:09:32:501,120ms
2025/06/25 15:09:32:618,40ms
2025/06/25 15:09:33:038,120ms
2025/06/25 15:09:33:148,40ms
2025/06/25 15:09:42:532,27ms
2025/06/25 15:09:42:672,36ms
2025/06/25 15:09:45:105,77ms
2025/06/25 15:09:45:952,27ms
2025/06/25 15:09:46:629,33ms
2025/06/25 15:09:47:139,32ms
2025/06/25 15:09:56:544,128ms
2025/06/25 15:09:57:115,44ms
2025/06/25 15:09:57:251,35ms
2025/06/25 15:09:58:662,69ms
2025/06/25 15:09:58:798,56ms
2025/06/25 15:09:59:054,60ms
2025/06/25 15:10:00:515,120ms
2025/06/25 15:10:00:625,40ms
2025/06/25 15:10:01:148,120ms
2025/06/25 15:10:01:259,40ms
2025/06/25 15:10:11:181,27ms
2025/06/25 15:10:11:317,36ms
2025/06/25 15:10:12:745,52ms
2025/06/25 15:10:30:592,77ms
2025/06/25 15:10:31:387,27ms
2025/06/25 15:10:32:076,32ms
2025/06/25 15:10:32:565,32ms
2025/06/25 15:10:38:003,128ms
2025/06/25 15:10:38:583,44ms
