time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:27:45,0.0,0.03,0.05,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,128,1,-37,-24,-445,-37,-1,-13,-130,0,0,0,0
00:28:15,0.0,0.01,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,129,2,-38,-24,-445,-38,-1,-13,-129,0,0,0,0
00:28:45,0.0,0.0,0.07,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,129,1,-38,-23,-443,-38,-1,-13,-130,0,0,0,0
00:29:15,0.0,0.03,0.04,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,128,1,-38,-23,-446,-38,-1,-12,-130,0,0,0,0
00:29:45,0.0,0.02,0.07,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,128,2,-38,-23,-446,-38,-2,-13,-128,0,0,0,0
00:30:15,0.0,0.02,0.03,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,128,1,-37,-23,-445,-37,-1,-12,-129,0,0,0,0
00:30:45,0.0,0.01,0.04,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,128,1,-39,-24,-445,-39,-1,-12,-130,0,0,0,0
00:31:15,0.0,0.0,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,128,1,-37,-23,-444,-36,-1,-12,-128,0,0,0,0
00:31:45,0.0,0.02,0.03,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,127,1,-39,-24,-443,-37,-1,-13,-129,0,0,0,0
00:32:15,0.01,0.04,0.04,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,128,1,-38,-24,-443,-38,-1,-13,-130,0,0,0,0
