time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:33:15,0.0,0.02,0.01,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,85,10,-23,-29,-455,-29,-1,-15,-120,0,0,0,0,
00:33:45,0.0,0.03,0.05,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,10,-22,-29,-454,-28,-2,-15,-122,0,0,0,0,
00:34:15,0.0,0.01,0.01,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,85,9,-24,-30,-456,-29,-1,-15,-121,0,0,0,0,
00:34:45,0.0,0.01,0.07,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,84,10,-24,-31,-457,-30,-1,-15,-121,0,0,0,0,
00:35:15,0.0,0.01,0.03,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,84,10,-24,-30,-454,-29,-2,-15,-120,0,0,0,0,
00:35:45,0.0,0.0,0.03,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,84,10,-24,-30,-456,-29,-2,-15,-120,0,0,0,0,
00:36:15,0.0,0.0,0.03,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,10,-23,-30,-457,-29,-3,-15,-121,0,0,0,0,
00:36:45,0.0,0.03,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,83,10,-23,-29,-457,-29,-1,-15,-121,0,0,0,0,
00:37:15,0.0,0.01,0.0,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,83,10,-23,-28,-456,-28,-1,-15,-121,0,0,0,0,
00:37:45,0.0,0.02,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,10,-23,-30,-454,-29,-3,-16,-122,0,0,0,0,
00:38:15,0.0,0.0,0.02,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,84,10,-24,-30,-455,-29,-3,-15,-122,0,0,0,0,
00:38:45,0.0,0.0,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,85,10,-24,-30,-455,-29,-1,-15,-121,0,0,0,0,
00:39:15,0.0,0.01,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,84,11,-23,-29,-456,-29,-2,-15,-121,0,0,0,0,
00:39:45,0.0,0.04,0.01,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,84,11,-24,-30,-456,-28,-2,-15,-121,0,0,0,0,
00:40:15,0.0,0.0,0.04,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,84,11,-23,-30,-456,-28,-2,-15,-121,0,0,0,0,
00:40:45,0.0,0.0,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,86,11,-23,-30,-456,-29,-3,-15,-121,0,0,0,0,
00:41:15,0.0,0.02,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,85,11,-23,-29,-458,-28,-2,-15,-120,0,0,0,0,
00:41:45,0.0,0.01,0.01,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,85,11,-23,-29,-454,-29,-2,-15,-121,0,0,0,0,
00:42:15,0.0,0.02,0.03,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,85,11,-23,-29,-456,-29,-2,-15,-121,0,0,0,0,
00:42:45,0.0,0.0,0.04,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,85,12,-23,-29,-455,-29,-1,-15,-121,0,0,0,0,
